iter	Passed	Remaining
0	1	1640
1	3	1638
2	4	1643
3	6	1586
4	8	1669
5	9	1656
6	11	1623
7	12	1595
8	14	1571
9	15	1551
10	17	1556
11	18	1531
12	20	1523
13	21	1530
14	23	1525
15	25	1545
16	26	1552
17	28	1540
18	29	1542
19	31	1530
20	32	1524
21	33	1511
22	35	1496
23	36	1498
24	38	1492
25	39	1480
26	40	1476
27	42	1487
28	44	1480
29	45	1476
30	47	1481
31	48	1479
32	50	1473
33	51	1466
34	52	1453
35	54	1450
36	55	1454
37	57	1462
38	58	1452
39	60	1455
40	62	1451
41	63	1443
42	64	1439
43	66	1442
44	67	1437
45	69	1444
46	71	1441
47	73	1453
48	74	1444
49	75	1439
50	77	1435
51	78	1426
52	79	1420
53	80	1413
54	82	1415
55	83	1410
56	85	1407
57	86	1404
58	87	1403
59	89	1400
60	90	1396
61	91	1390
62	93	1390
63	94	1389
64	96	1384
65	97	1376
66	98	1371
67	99	1365
68	100	1362
69	102	1359
70	103	1355
71	104	1348
72	105	1344
73	107	1339
74	108	1334
75	109	1328
76	110	1322
77	111	1314
78	112	1307
79	113	1301
80	114	1295
81	115	1288
82	115	1276
83	116	1268
84	117	1260
85	118	1255
86	119	1249
87	119	1243
88	120	1238
89	121	1231
90	122	1225
91	123	1218
92	124	1211
93	125	1210
94	126	1205
95	127	1199
96	128	1194
97	128	1187
98	129	1180
99	130	1175
100	131	1169
101	132	1165
102	133	1162
103	134	1158
104	135	1153
105	136	1147
106	136	1141
107	137	1135
108	138	1130
109	139	1125
110	139	1120
111	140	1115
112	141	1109
113	142	1104
114	142	1098
115	143	1093
116	143	1086
117	144	1082
118	145	1078
119	146	1073
120	147	1068
121	147	1063
122	148	1059
123	149	1055
124	150	1050
125	150	1045
126	151	1039
127	152	1035
128	152	1032
129	153	1028
130	154	1024
131	155	1019
132	155	1015
133	156	1010
134	157	1006
135	157	1002
136	158	998
137	159	994
138	159	990
139	160	987
140	161	982
141	161	977
142	162	973
143	163	970
144	164	967
145	164	963
146	165	959
147	166	957
148	167	954
149	167	950
150	168	946
151	168	942
152	169	938
153	170	934
154	170	930
155	171	928
156	172	925
157	173	923
158	174	920
159	174	917
160	175	912
161	175	908
162	176	905
163	176	902
164	178	901
165	178	899
166	179	897
167	180	894
168	181	891
169	182	889
170	182	886
171	183	883
172	184	884
173	185	882
174	186	880
175	187	877
176	187	874
177	188	870
178	189	868
179	190	866
180	190	863
181	191	862
182	192	861
183	193	860
184	194	857
185	195	856
186	196	853
187	197	851
188	198	849
189	198	847
190	199	845
191	200	843
192	201	841
